Date,State,State_resident_number
02/24/2020,MP,490982
02/24/2020,MS,36
02/24/2020,MT,259753
02/24/2020,NC,54904
02/24/2020,ND,749282
02/24/2020,NE,56539
02/24/2020,NH,165679
02/24/2020,NJ,82446
02/24/2020,NM,603338
02/24/2020,NV,111498
02/24/2020,NY,186334
02/24/2020,OH,1180180
02/24/2020,OK,901938
02/24/2020,OR,347504
02/24/2020,PA,230594
02/24/2020,PR,825043
02/24/2020,RI,147220
02/24/2020,SC,58841
02/24/2020,SD,399391
02/24/2020,TN,59829
02/24/2020,TX,541566
02/24/2020,UT,2268066
02/24/2020,VA,185787
02/24/2020,VI,552015
02/24/2020,VT,921
02/24/2020,WA,28353
02/24/2020,WI,413693
02/24/2020,WV,393244
02/24/2020,WY,112482
03/02/2020,AK,34710
03/02/2020,AL,29394
03/02/2020,AR,484142
03/02/2020,AS,260151
03/02/2020,AZ,38
03/02/2020,CA,433873
03/02/2020,CO,1982616
03/02/2020,CT,344832
03/02/2020,DC,201789
03/02/2020,DE,34757
03/02/2020,FL,60859
03/02/2020,GA,1706843
03/02/2020,GU,838976
03/02/2020,HI,4086
03/02/2020,IA,74899
03/02/2020,ID,268361
03/02/2020,IL,103761
03/02/2020,IN,953550
03/02/2020,KS,512905
03/02/2020,KY,272216
03/02/2020,LA,322224
03/02/2020,MA,376531
03/02/2020,MD,366848
03/02/2020,ME,358235
03/02/2020,MI,63112
03/02/2020,MN,659016
03/02/2020,MO,396990
03/02/2020,MP,502427
03/02/2020,MS,77
03/02/2020,MT,260135
03/02/2020,NC,54014
03/02/2020,ND,736196
03/02/2020,NE,55396
03/02/2020,NH,166133
03/02/2020,NJ,78978
03/02/2020,NM,587102
03/02/2020,NV,118298
03/02/2020,NY,185506
03/02/2020,OH,1171555
03/02/2020,OK,868172
03/02/2020,OR,341260
03/02/2020,PA,216815
03/02/2020,PR,796100
03/02/2020,RI,160536
03/02/2020,SC,59018
03/02/2020,SD,397871
03/02/2020,TN,57294
03/02/2020,TX,533212
03/02/2020,UT,2266542
03/02/2020,VA,193820
03/02/2020,VI,529132
03/02/2020,VT,1100
03/02/2020,WA,26885
03/02/2020,WI,394751
03/02/2020,WV,373959
03/02/2020,WY,115026
03/09/2020,AK,33532
03/09/2020,AL,26769
03/09/2020,AR,454091
03/09/2020,AS,245356
03/09/2020,AZ,45
03/09/2020,CA,399340
03/09/2020,CO,1826403
03/09/2020,CT,313790
03/09/2020,DC,188069
03/09/2020,DE,32412
03/09/2020,FL,56228
03/09/2020,GA,1547197
03/09/2020,GU,781121
03/09/2020,HI,3909
03/09/2020,IA,70318
03/09/2020,ID,247217
03/09/2020,IL,94111
03/09/2020,IN,853076
03/09/2020,KS,458424
03/09/2020,KY,254508
03/09/2020,LA,297456
03/09/2020,MA,349499
03/09/2020,MD,340117
03/09/2020,ME,336924
03/09/2020,MI,58417
03/09/2020,MN,607268
03/09/2020,MO,349695
03/09/2020,MP,459834
03/09/2020,MS,48
03/09/2020,MT,241692
03/09/2020,NC,48764
03/09/2020,ND,681155
03/09/2020,NE,49778
03/09/2020,NH,147743
03/09/2020,NJ,74263
03/09/2020,NM,548968
03/09/2020,NV,105053
03/09/2020,NY,168955
03/09/2020,OH,1069316
03/09/2020,OK,790595
03/09/2020,OR,323555
03/09/2020,PA,202008
03/09/2020,PR,727183
03/09/2020,RI,147061
03/09/2020,SC,55243
03/09/2020,SD,366518
03/09/2020,TN,52765
03/09/2020,TX,494696
03/09/2020,UT,2094915
03/09/2020,VA,171188
03/09/2020,VI,488885
03/09/2020,VT,1019
03/09/2020,WA,25230
03/09/2020,WI,359056
03/09/2020,WV,343225
03/09/2020,WY,106675
03/16/2020,AK,30597
